	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:+;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:+;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:0 | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,-,+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+	labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,-,+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	ts	t̠ʃ	pʲ	pʷ	kp	k	kʲ	kʷ	-	10/10	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b	d	dz	d̠ʒ	bʲ	bˠ	ɡb	ɡ	ɡʲ	ɡʷ	-	10/10	1.0
periodicGlottalSource:+;spreadGlottis:+;sonorant:-;nasal:-;category:affricate|plosive	bʱ				-	-	-				-	1/7	0.17047997230657502
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f		s	ʃ		fʷ	-	x			-	5/9	0.830630382206595
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v		z	ʒ			-	ɣ			-	4/9	0.8625455378398651
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	ɱv					-	-	ŋɣ	ŋɣʲ	ŋɣʷ	ŋɣᶣ	5/9	0.5785585859859256
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɱf		ns	n̠ʃ	ɱfʲ	-	-	-	-	-	-	4/5	0.9833541363501384
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd	ndz	n̠d̠ʒ	mbʲ	mbˠ	ŋmɡb		ŋɡʲ	ŋɡʷ	-	9/10	0.7461812174806355
periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mp	nt	nts		mpʲ		ŋmkp		ŋkʲ	ŋkʷ	-	7/10	0.6935485303681446
	9/9	4/9	7/9	6/9	5/8	4/6	4/4	5/8	5/8	5/8	1/1
	1.0	0.8840557865923311	0.9928802558245208	0.9910278353917501	0.6094406432256698	0.985978989499316	1.0	0.9643226576260573	0.811896784250506	0.7084246736112494	1.0
