				ɡ	ɡʷ	2/6	0.3313900351594277
ɓ	ɗ	-	-		-	2/3	0.8035736392716092
		sʼ				1/6	0.33915887186173965
	-	sʰ			-	1/4	0.8794131416068168
		z	ʒ			2/6	0.3944694795785428
p	t	ts	t̠ʃ	k	kʷ	6/6	1.0
		s	ʃ			2/6	0.49681593329971296
pʰ	tʰ	tsʰ	t̠ʃʰ	kʰ	kʷʰ	6/6	1.0
	tʼ	tsʼ	t̠ʃʼ	kʼ	kʷʼ	5/6	0.854588837560785
3/9	4/8	7/8	5/8	4/9	4/7
0.4771732743802207	0.673138826712766	0.9390545615641606	0.8434904602504864	0.8101338116065279	0.7347062645561582
