p		t	t̠ʃ	k	4/5	0.9996981921127449
			d̠ʒ	ɡ	2/5	0.3840960255712454
	f	s	ʃ		3/5	0.7621148810499412
β	v	z			3/5	0.6255402962499076
-	ɱv	nz			2/4	0.9364795045459046
-	ɱf	ns	n̠ʃ	-	3/3	1.0
mb		nd	n̠d̠ʒ	ŋɡ	4/5	0.9998911909355456
mp		nt	n̠t̠ʃ	ŋk	4/5	0.9999158992197045
4/6	4/8	7/8	6/8	4/7
0.6640373987123975	0.9934901629876037	0.8194228857664363	0.9236929817363613	0.823179947712199
