	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+ | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-,+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+;round:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;front:+;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive			t	t̠ʃ	tʷ	t̠ʃʷ		tʲ	t̠ʃʲ	k	kʲ	kʷ	9/12	0.7970175147825428
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	bʷ	b	d	d̠ʒ	dʷ	d̠ʒʷ	bʲ	dʲ	d̠ʒʲ	ɡ	ɡʲ	ɡʷ	12/12	1.0
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	fʷ	f		s		sʷ	fʲ		sʲ				6/12	0.6759864327845336
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative		v		z					zʲ	ɣ	ɣʲ		5/12	0.8900967417006924
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative	-	ɱv		nz	-	-		-	-				2/7	0.9316497968833398
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	-	ɱf		ns	-	-		-	-	-	-	-	2/4	0.9667082727002766
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive		mb	nd	n̠d̠ʒ		-			-	ŋɡ			4/10	0.8974748702912532
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:affricate|plosive			nt	n̠t̠ʃ		-		-	-	ŋk			3/9	0.7391902736752839
	2/6	6/8	4/8	8/8	2/6	3/4	2/8	2/5	4/4	5/7	3/7	2/7
	0.580263679342315	0.496587593691636	0.903687025317938	1.0	0.8818784002802522	0.711364417099735	0.31212901830918066	0.849870967662617	1.0	0.8748383954208768	0.8494867550735854	0.735708897802494
