				d̠ʒ		1/6	0.08179995905865674
ɓ	-		-	-		1/3	0.4071014330634248
	-		-		k͉	1/4	0.257590233521722
v	ɮ		z			3/6	0.5659047479112439
p		t			k	3/6	0.8345101698621531
f	ɬ		s	ʃ		4/6	0.7477365602174677
pʰ		tʰ			kʰ	3/6	0.7890721380579498
pʼ		tʼ	tsʼ	t̠ʃʼ	kʼ	5/6	0.9729232488811616
6/8	2/6	3/8	3/6	3/7	4/8
0.7415942417219987	0.6388129177078156	0.6401222666583842	0.6902495132739718	0.5385985471678228	0.5963299608199307
