p		ps	t̪		ts	t̠ʃ			-	tʲ	k	kʷ	8/12	0.8026010022225643
b		bz	d̪	d	dz	d̠ʒ	dʷ	dzʷ	bɡ		ɡ	ɡʷ	11/13	0.9946969638907159
b̤				d̤	d̤z̤	d̠ʒ̤	-	-	-	-		ɡ̤ʷ	5/9	0.5325297687857204
β	v	-			z	ʒ		zʷ	-				5/11	0.6587465536329454
pʰ			t̪ʰ	tʰ	tsʰ		tʷʰ	tsʷʰ	pkʰ		kʰ	kʷʰ	9/13	0.9009227012917927
						t̠ʃʼ							1/13	0.12883733329518046
mb		-		nd		n̠d̠ʒ		-	-		ŋɡ	ŋɡʷ	5/10	0.8659034040859166
	f	-			s	ʃ		sʷ	-			ʃʷ	5/11	0.6728767755974091
6/8	2/8	2/5	3/8	4/8	6/8	7/8	2/7	4/6	2/3	1/7	4/8	6/8
0.8954209355310524	0.9935139814889719	0.8716812291587527	0.7437113760298361	0.3832177925810259	0.9165027448843515	0.9207505749753225	0.3693938517861162	0.6821436996890161	0.004842615012106521	0.20293778155129705	0.7268210022208386	0.7832428422385088
